WASTE_ID,SOURCE,ORG_ID,WWTP_NAME,COUNTRY,CNTRY_ISO,LATITUDE,LONGITUDE,QUAL_LOC,LAT_OUT,LON_OUT,STATUS,POP_SERVED,QUAL_POP,WASTE_DIS,QUAL_WASTE,LEVEL,QUAL_LEVEL,DF,HYRIV_ID,RIVER_DIS,COAST_10KM,COAST_50KM,DESIGN_CAP,QUAL_CAP
56807,12,3957,,Ukraine,UKR,49.529,25.594,1,49.49,25.577,Not Reported,102216,4,8505.97,4,Secondary,2,60.899,20386193,5.897,0,0,,3
56808,12,3958,,Ukraine,UKR,49.543,34.467,1,49.452,34.498,Not Reported,14267,4,1187.242,4,Secondary,2,25.306,20387579,0.334,0,0,,3
56809,12,3959,,Ukraine,UKR,49.558,34.502,1,49.46,34.494,Not Reported,85657,4,7128,4,Secondary,2,5,20387579,0.33,0,0,,3
56810,12,3960,,Ukraine,UKR,49.571,25.62,1,49.49,25.577,Not Reported,55095,4,4584.776,4,Secondary,2,112.129,20386193,5.897,0,0,,3
56811,12,3961,,Ukraine,UKR,49.576,25.604,1,49.49,25.577,Not Reported,22946,4,1909.431,4,Secondary,2,267.834,20386193,5.897,0,0,,3
56812,12,3962,,Ukraine,UKR,49.581,25.594,1,49.49,25.577,Not Reported,65054,4,5413.515,4,Secondary,2,95.116,20386193,5.897,0,0,,3
56813,12,3963,,Ukraine,UKR,49.615,34.64,1,49.556,34.602,Not Reported,123230,4,10254.685,4,Secondary,2,315.892,20384666,37.374,0,0,,3
56814,12,3964,,Ukraine,UKR,49.669,32.093,1,49.648,32.065,Not Reported,28769,4,2394.003,4,Secondary,2,,20382492,,1,1,,3
56815,12,3965,,Ukraine,UKR,49.687,31.588,1,49.669,31.619,Not Reported,4080,4,339.529,4,Secondary,2,392587.95,20382389,1542.762,0,1,,3
56818,12,3968,,Ukraine,UKR,49.75,31.483,1,49.777,31.469,Not Reported,4334,4,360.651,4,Secondary,2,363134.663,20379175,1515.791,0,1,,3
56819,12,3969,,Ukraine,UKR,49.753,31.477,1,49.777,31.469,Not Reported,1862,4,154.974,4,Secondary,2,845074.938,20379175,1515.791,0,1,,3
56820,12,3970,,Ukraine,UKR,49.754,31.458,1,49.777,31.469,Not Reported,24043,4,2000.783,4,Secondary,2,65457.552,20379175,1515.791,0,1,,3
